Expressions,Description
Talk sb into 1 (sth/ing),
Test sb out 1,
Test sth out (on sb)1(similar to try out),
Act on/upon sth 1*(findings,information,ideas,advice),
Tangle sth up 1,
To get/be tangled up (with sb)(in sth)2 (trapped, involved)*,
take care of sb 2 ( look after, deal with)*,
take care of sth 1*, 
Flunk out of sth (school,colege,courses) 1*,
Read sth out 1,
Push on (with sth) 1*(to continue doing something, especially when this is difficult),
Zero in on sb/sth 1*(focus one's attention),
play along (with sb/sth) 1,
Hype sb up 1*,
Weigh sb down (by sth ) 1,
break sth down (into sth)1 (to divide something into smaller parts),
Break sth(it) down for sb 1*, 
break down 2(cry,machine)*,
get into 3 (collegue,activity,fight/conversation)*,
come out 2(result,sun/moon/stars)*,
get off (with) sth (to avoid punishment, or to help another person to avoid punishment for something)1*,
Get off sth 1*,
get off (of) sb 1*,
Come up 1*,
Coming up 1*(to be happening soon,My exams are coming up soon),
Come up to sb/sth 1*( to move near to (someone or something),
finish sb/sth off 1,*
pimp sth out 1,
take sth back 2,
squeeze through sth 1*,
Live through sth 1(to experience something difficult or painful and continue to live)*,
go after sb/sth 1*,
sort sth out 2(to organize something successfully,do something that stops a problem),
be into 1*,
hang out (at/with)1*,
leave sth off 1,
back sth up 1,
back up 3(go back,help,computer)*,
take sth off 1,
take off 2(plane,leave )*,
go down 2(to move down to a lower level or place,be remembered)*,
Try sth on 1,
Water down sth 1*,
stand by sb 1,
Stand up for sb/sth 1*,
dumb sth down (for sb)1,
hang on to sth 1*(Our team was just trying to hang onto the lead),
Drop out of sth 2*(to not do something that you were going to do, or to stop doing something before you have completely finished, course/class/collegue/school),
mess sth up 2 (fuck up,untidy),
mess sb up 1,
bring sb up 1,
Bring sth up 1,
Verge on sth 1*(to be almost a particular state, quality, or feeling, especially one that is very bad or very good),
Die out  1*(to become less common and finally stop existing:It's a custom that is beginning to die out),
Kill off sb/sth 1*(to destroy or remove someone or something completely,The worship of celebrities has killed off common sense in America ),
rule out sth 1*( to decide or say officially that something is impossible or will not happen, or that something or someone is not suitable,The police haven't yet ruled out murder),
scrape by (on sth) 1*(to manage to live when you do not have enough money and other necessary things)(He lost his job, so the family had to scrape by on one small salary),
Bow down to sb1 (to show respect to someone and agree that they are more powerful than you : He expects me to bow down to him and do everything he tells me)
win sb over 1,
Lock sb away 1,
Lock sth away 1( to put (something) in a locked container, place, etc.),
fall under sth 1*(to be influenced or affected by (something) He fell under her influence. fall under a spell),
come across (as) 1*(to behave in a way that makes people believe that you have a particular characteristic),
come across sb/sth 1*(to find something or someone by chance),
Break out 3(fire/virus/war/a bad thing,prison,skin)*(War broke out in 1914,Fighting has broken out all over the city),
pay off 1*,
pay sb off 1 ( to bribe),
pay sth off 1( finish paying back money that you owe for something),
stick with sb 1*,
stick with sth 1*,
split up sth (into) 1*,
split up (with) sb 1*,
split sb up 2 (separate group, separate a couple),
fit in (with sb/sth) 1*(to feel you belong to a particular group and are accepted by the other members,to be suitable or right in a particular situation),
move (in/into sth) 1*(to go to a different place and begin to live or work there),
move out (of sth) 1*,
go ahead 1*,
load sth up 1,
load up on sth 1*(to take, buy, eat or drink a large amount of something),
bail sb/sth out 1 ( help them out of a difficult situation, often by giving them money),
bail sb out 1(to pay money to a court so that someone can be released from prison until his or her trial),
step sth up 1
carry out sth 1*,
come in 1*,
work on sth (ing/noun) 1*,
work at sth (ing) 1*,
work sth out 1,
work out 1*,
rub sth in 1,
break in(into sth) 2(interrupt,crime)*,
break sth in 1*?,
clean (yourself/myself) up 1,
clean sth up 1,
piss sb off 1,
turn out 1*,
pull up  2 (go to a place, exercise)*,
run out of 1*,
Check on sth/sb 1*,
Buckle up 1*,
Call for sth 1*,
Cry out 1*(to shout or make a loud noise because you are frightened, hurt, etc),
Fill sth up 1,
Stick up for sb/sth 1*(to support or defend someone or something, especially when that person or thing is being criticized),
account for sth1* (to give an explanation for something bad that has happened)*,
track sb/sth down 1,find them, or find information about them, after a difficult or long search
Hold sth in 1(to stop (an emotion) from being expressed. Don't hold your feelings in. Let them out),
Use sth up 1 (use all of a supply of something),
Blend in (with) 1*,
talk over sb/sth 1 (To speak loud enough to be heard and understood while some other noise is being made.I wish I hadn't taken her to the club for our date—we spent the whole evening trying to talk over the music.I had to talk over the sound of the machines, so I hope he understood my instructions.) *,
Cut (it/that/this) out 1,
Cut out (to be) 1*,
Cut sth out 2(to stop eating or drinking something, usually to improve your health:Since my heart attack, I've cut fatty foods out altogether, to remove something or form a shape by cutting, usually from paper or cloth:She cut out his picture from the magazine), 
Find out 1*,
Figure sth out 1,
Get out of (ing) sth 1*,
 line sth/sb up (with) 2* (something prepared or ready, line or row(Do you have anything exciting lined up for the weekend?,Cars lined up waiting to board the ship)),
 line sth/sb up with sth 1 (move sth into a correct position,To get good TV reception, the dish must be accurately lined up with the satellite)
Get out of 1*,
Come up with sth 2(idea/money)*,
Catch up with sb/sth 3(run/sb/sth/news)*,
End up 1*,
Wind (dog) up 1,
Wind up 1*,
Get up 1*,
Wake sb up 1,
Pick sb up 2, (to collect, or to go and get, someone or something,girl)
Pick (the phone) up 1,
Stay up 1*,
Look sth up 1,
Look up 1*,
turn sth up 1,
show up 1*,
cut off 2(phone call, public service (often pasive))*,
cut sb off 1,
chip in (with) 1*,
run across sb/sth 1*,
run across sth 1*(She ran across the street to tell me the news,),
back down (on/from) 1* (to admit that you were wrong or that you have been defeated,Local residents have forced the local council to back down from its plans to build a nightclub on their street.),
get together (with sb) 2* (meet with sb,Let's try to get together next week,to start a romantic relationship:She got together with Paul two years ago.),
pack sth away 1(in a safe place to be used at a later time), 
come along (with) sb 1*(to accompany someone who leads the way. asked me to come along on the trip.),
turn sb/sth around 1,
tag along (with) sb 1*,
rough sb up 1(to hit and kick someone, usually to frighten or threaten them),
bring sb together 1(to help people or groups to become friendly or to do something together, especially when they would not usually do this: The disaster brought the community together),
give up 1*,
give up (ing)1*,
keep on (ing) 1*,
Show off 1*,
Turn sth off 1,
Turn sb off 1,
Count on sb 1*,
Count on sb/sth (ing) sth 1*,
Pick on sb 1*,
Go on 2 (happen,continue)*,
Hurry up 1*,
Be in 1*(To be willing to become involved in or contribute to something.I know this project isn't going to be easy, but I'm in nonetheless.),
put sb down 2(kill animal,make sb feel bad),*
put sth down 2(to pay part of the cost and promise to pay the rest later:I've put a deposit down on a new car,to put an object that you are holding onto the floor or onto another surface, or to stop carrying someone:I put my bags down while we spoke),
finish sth up 1,
take sb down 2(defeat,takedown)
take sth down 1,?
make fun of 1*,
Shut sth down 2 (If a business or a large piece of equipment shuts down or someone shuts it down, it stops operating:The company plans to shut down four factories and cut 10,000 jobs.The crew shut down the right-hand engine of the aircraft.f a computer or other machine shuts down or someone shuts it down, it stops operating:The unit, which can process 70,000 barrels per day of crude oil, was shut down for 21 days.Later that day, the server shut down completely.), 
Come up against sth 1*(to have to deal with problems or difficulties We may find we come up against quite a lot of opposition from local people. You’ve got no idea of what you’re going to come up against),
Skimp on sth 1* (to not spend enough time or money on something, or not use enough of something: We've got plenty of cheese so don't skimp on it.),
Come to terms with sth 1*(If you come to terms with something difficult or unpleasant, you learn to accept and deal with it.
My dad needed to come to terms with the fact that I had become an adult.),
build on sth 2*(To develop, add to, or elaborate upon some initial starting point.OK, class, let's build on Janet's idea. What else does this passage tell us about the protagonist's motivation?,She built her entire argument on the data presented in scientific article that was later proven to have been falsified,to use a success or achievement as a base from which to achieve more success:We need to build on our reputation to expand the business.A good relationship is built on trust.), 
Work sb over 1*(to attack and injure someone: Somebody had worked him over pretty good.),
Take sth away from sth 2 (to remove something:Take these chairs away - we don't need them.Supermarkets are taking business away from family-run groceries,to get a particular message or piece of information from something you read or are told :What I took away from his talk is that going to college is definitely worth it), 
Get ahead of oneself 1*(act or plan prematurely or overconfidently),
Get ahead (in sth) 1 (make progress)*,
get ahead (of sb/sth) 2 (position,make progress)*,
turn sth in 1,
turn sb in 1,
stay over 1*(to sleep at someone's house for one night:Why don't you stay over and drive back in the morning?,We have a spare bed if you want to stay over),
sleep on sth 2*(o postpone a decision until the following day so that one has additional time to consider it.Why don't you sleep on the offer and let us know your decision in the morning?I'm still not sure if I'm ready to spend that much money. Can I sleep on it?, sleep on the couch/floor),
own up to 1* (ing/noun ),
Face up to sth/sb 1*(​to accept and deal with something that is difficult or unpleasant. She had to face up to the fact that she would never walk again. You have to face up to your responsibilities,He was scared, but John faced up to the bully and told him to leave them alone.The two men faced up to one another, neither willing to back down),
Deal with sth/sb 1*,
Count down 1*(to count backwards to zero:She counts down the top 10 music videos every week., i’m gonna count down to zero),
Settle down 2 (calm, quieter life)*,
Pull oneself together 1*,
play sth up 1,
let sb go 2,
let sth go 1,
let´s go 1*,
run into sb 1*(to meet somebody by chance. Guess who I ran into today!),
Mix sth up 1(to make a group of things messy or badly organized, or to move them into the wrong order:Don't mix up the bottles - you'll have to repeat the experiment if you do.Your jigsaw puzzles and games are all mixed up together in that box.), 
Mix sth/sb up (with sth/sb)1*( to fail to recognize two people or things correctly by thinking that one person or thing is the other person or thing:People often mix us up because we look so similar.I think you're mixing me up with my sister.),
blow sth up 1 (to destroy something or kill someone with a bomb, or to be destroyed or killed by a bomb:They threatened to blow up the plane if their demands were not met.He drove over a landmine and his Jeep blew up), 
Blow up 1* (To become very popular, often suddenly.I used to think I was the only one who liked that band, but they're really popular at my school now—it's like they blew up overnight.),
Hold on 2 (to make yourself continue to do what you are doing or stay where you are although it is difficult or unpleasant:If you can just hold on I'll go and get some help.used to tell someone to wait for a short time:)*,
Be out 1 (To not be present in a particular place.George is actually out for the afternoon—can I take a message?)*, 
I’m outta here 1*,
Stretch out 1*, 
be down for sth 1*(To be ready, willing, or eager to do something.I'm down for a quick game of soccer if you are.I am so down for a trip to the mall—I need to get away from this term paper for a while!),
beat sb up 1,
take after sb 1*(to look or behave like an older member of your family, especially your mother or fatherYour daughter doesn't take after you at all),
sum sth up 1(to describe briefly the important facts or characteristics of something :The purpose of a conclusion is to sum up the main points of an essay.,The report attempts to sum up recent economic trends.The storyline can be summed up in a few sentences), 
sum sb/sth up 1(o describe or show the most typical characteristics of somebody/something, especially in a few words,Totally lazy—that just about sums him up.One young mother summed up the feelings of many parents when she said:…),
wear sb down 1,
wear sth down 1,
put sth into effect 1,
chase sb down 1,
chop sth off 1,
Brush sth off 2(ignore sth,literal),
Smarten up 1*(to become more intelligent or aware : to become smarter. He'd better smarten up or he'll get fired. ),
Nod off 1*( to begin sleeping, especially not intentionally: After our busy day, we both sat and nodded off in front of the TV.),
wipe sth off (sth) 1,
wear sth out 1,
wear sb/oneself out 1,*
call sb out (for sth) 1(draw critical attention to someone's unacceptable actions or behaviour."people were calling him out for his negative comments"),
open sth up 1,
Open (up) to sb 1*,
meet up (with/at) sb 1*,
listen up 1*,
stay out of sth 1*,
pull over 1*,?
pull sb/sth over 1,?
come over (to/for) 1*(to come to a place, move from one place to another, or move toward someone,Come over here!Is your family coming over from Greece for the wedding?),
go through 1*(undergo a difficult period or experience."the country is going through a period of economic instability"),
walk around 1*,
pull sth off 1,
sell out 2*(One who betrays a cause for personal advancement: Man, you are totally a sellout!"., sell all, the tickets were sold out ),
sell sb out 1(to betray in order to gain an advantage or benefit. His business partner had sold him out),
hook up with 1*,
hook sb up with sth 1*,
Write sth down 1,
pay sb (sth) back 1,
pay sb back (for) sth 1,
go over sth 2 (review,examine,)*,
team up (with) sb 1*,
tear sth/sb apart 1 (to criticize something or someone severely:The editorial tore apart the president's immigration policy but failed to suggest anything new.),
tear sth apart 1 (to pull something so violently that it breaks into two or more pieces:A dog can tear a rabbit apart in seconds),
come through sth 2* (If a piece of information or a document comes through, you receive it:Have the test results come through yet?,My visa still hasn't come through, signal, the signal is not coming through,to manage to get to the end of a difficult or dangerous situation:We've had some hard times, but we've come through.)*,
feed up 1*,
get through sth 2 (literal meaning, deal with sth)*,
point sth out (that/how)1,
carry away 1*,
look up to sb 1*,
go in 1*,
Slack off 1*(to work less hard or to be less than is usual or necessary:Workers tend to slack off on Mondays and Fridays.),
lean towards sth 1*,
pass out 1*,
pass sth around 1,
black out 1*,
pass by sth 1*,
kick in 1*,
stay in 1*,
hook on sth 1*,
chicken out 1*,
pass away 1*,
walk away 1*,
shout-out (to) 1*,
Move sth along 1*( To instruct, direct, or compel someone to advance forward. The police finally showed up to move along the crowd of onlookers.I'm sorry, ma'am, but I need to move you along—your car is blocking access to this alley.Move along, everyone),
make out (with) sb 1*,
(to be) made out (of) sth 1*
bring it on 1*,
turn (sb) against sb/sth 1,
Go out 1*,
Go out (to/and do) sth 1*,
Help sb out (with) 1,
be up to 1* ( clever, good, or well enough to do something, I’m afraid Tim just isn’t up to the job (=he does not have the necessary ability).,you’re definitely up to it,You don’t need to go back to school if you don’t feel up to it.),
be up for sth 1(be willing to do or try sth)*,
come between sb 1*,
give rise to sth 1*(If something gives rise to an event or situation, it causes that event or situation to happen. Low levels of choline in the body can give rise to high blood-pressure,International support has given rise to a new optimism in the company),
stick out (of/from) sth 1*(to be easily seen or noticed,They wrote the notice in big red letters so that it would stick out.,His ears stick out,There was a handkerchief sticking out of his jacket pocket),
play sth down 1,
step on sth 1*,
step on it 1*,
hold back sth 2(hide emotions,to decide not to do)*,
hold sb back 1 (stop from succeeding,)
lay down 1*(acostarse),
stay away (from) sth/sb 1*,
piece sth together 2 (understand sth,put the pieces together),
Kick sb out (of sth) 1,
Stand up for sb(oneself)/sth 1* (to defend or support a particular idea or a person who is being criticized or attacked:It's high time we all stood up for our rights around here.Don't be bullied, learn to stand up for yourself and what you believe in),
call sth off 1 (cancel),
fall apart 2(to break into pieces:My poor old boots are falling apart.,If an organization, system, or agreement falls apart, it fails or stops working effectively:The deal fell apart because of a lack of financing.Their marriage fell apart when she found out about her husband's affair.,to experience serious emotional problems that make you unable to think or act in the usual way:After his wife died, he began to fall apart)*,
try sth out (on sb) 1,
try sth out 1,
Hang on 1*,
Look down on sb 1*,
smooth sth/things/this out 1(to make problems or difficulties disappear, Any differences between the groups were soon smoothed out.We are here to smooth out any practical problems for you.),
Ease up on sb 1* (to treat (someone) in a less harsh or demanding way. The students might respond better if the teacher eased up on them a little),
Ease up 1*(to gradually stop or become less At last the rain began to ease up.),
go over (to) sth 1*,
take sth up 1(to start doing a particular job or activity:I thought I might take up cycling.They took up golf when they moved to Florida.She has taken up (= started to learn to play) the oboe.),
take over (as/from) sth 1*(to start doing a job or being responsible for something that another person did or had responsibility for beforeHe took over from the previous headmaster in February,She took over as manager two weeks ago.Jason Lamb has taken over responsibility for this project,to get control of something, or to do something instead of someone else:He’s taken over the spare bedroom for his model railroad.She took over management of this department last winter.They made changes the minute they took over.),
Tie sb down (to doing sth) 1 ( ​to limit somebody's freedom, for example by making them accept particular conditions or by keeping them busy,Kids tie you down, don't they?I don't want to tie myself down to coming back on a particular date.), 
Grow on sb 1*(f somebody/something grows on you, you start to like them or it more and moreThe neighbourhood was beginning to grow on me.This song is really growing on me.),
waste sth away 1(I feel like we've been wasting away every weekend watching TV. Let's try to get out of the house tomorrow),
fall off sth 2 (literal,If the amount, rate, or quality of something falls off, it becomes smaller or lower:Sales have been falling off recently.Membership of the club has fallen off in recent months.)*,
follow sth up 1 coming or done after a related event or action :a follow-up visit Reporters can have one follow-up question.to discover more about something or to take further action connected with it:As a news reporter, when something important happens, I have to follow it up.Brocchini failed to follow up on leads pointing to any other suspects.a further action connected with something that happened before:This meeting is a follow-up to the one we had last month.),
mess around 1*(to spend time doing various things that are not important, without any particular purpose or plan:They spend their weekends messing around on their boat.My brother likes messing around with computers.He spent the day with friends, just messing about.),
 give in (to) 1*(to finally agree to what someone wants, after refusing for a period of time:He nagged me so much for a new bike that eventually I gave in.The government cannot be seen as giving in to terrorists' demands), 
Stumble (on/upon) sb/sth 1*(to discover something by chance, or to meet someone by chance:Workmen stumbled upon the mosaic while digging foundations for a new building.),
slip up 1*(to make a mistake:These figures don't make sense - have we slipped up somewhere?,It's easy for a journalist to slip up and use somebody else's idea without crediting him or her.),
look into sth 2*(to examine somethingA working party has been set up to look into the problem),To investigate or try to get more information about something,I'll look into it and see what I can find out.Police are looking into reports that he embezzled money)
Pick sth up 2 (to lift someone or something using your hands:If she starts to cry, pick her up and give her a cuddle,I picked up the kids' clothes that were lying on the floor,to learn a new skill or language by practicing it rather than being taught it:Don't bother with the computer manual - you'll pick it up as you go along.When you live in a country you soon pick up the language.),
 Fall out (with) sb 1*,
cut down on sth 1*(to eat or drink less of a particular thing, usually in order to improve your health:I’m trying to cut down on the amount of sugar I eat),
Cut down 1*(to reduce the number, amount, or size of something:Patients were asked if they had cut down their use of painkillers.I need to cut this section down to 500 words.), 
look after sb 1*(to care for or take responsibility for,I’m looking after her dogs while she’s gone),
act up 2(behave badly."all children talk back and act up from time to time, If a machine or part of the body acts up, it does not perform as well as it should:My car always acts up in cold weather.Her shoulder was acting up (= hurting because of injury)).
Brush up on sth 1*,
Keep sb down 1(to prevent a person or group of people from having any power or freedom:It's all part of a conspiracy to keep women down.),
Keep sth down 1(to control the size or number of something and prevent it from increasing:We need to work hard to keep our prices down.I'm going to sleep, so will you try to keep the noise down?),
Fade out 1*(To vanish gradually from view or audibility.And then we'll fade out, and the credits will start to roll.),
Loosen up 2 (relax,body)*,
take sth out 2(to buy food in a restaurant and eat it somewhere else:Is that to eat in or take out?to remove something from somewhere:They had to take out two of his teeth.),
take sb out 1 (kill),
take sb out (for sth) 1 (invitation),
freak out 1(extremely surprised, upset, angry, or confused.)*,
back out (of) sth 1*(to decide not to do something that you had said you would do:You agreed to come. You can't back out now!They backed out of the deal the day before they were due to sign the contract),
get by (with) 1*(to be able to live or deal with a situation with difficulty, usually by having just enough of something you need, such as money:How can he get by with so little money?We can get by with four computers at the moment, but we'll need a couple more when the new staff arrives.There is tremendous pressure on families trying to get by without health insurance.),
Ask sb out 1,
Bear sth in mind (that) 1,
Tell sth/sb apart 1,
turn sth on 1,
turn sb on 1,
dress up (as) sth 1*,
dress up 1*,
go beyond sth 1 (exceed)*,
flip sb off 1,
knock sb out 1,
sleep over (at)1*,
Hold sb Down 3 (sb in the floor, rights or freedom, keep sb from developing sth)*,
Keep sb from ing sth 1*,
Calm sb down 1,
Tie sb down 1 (tied in the floor),
Come off (as/like) 1*,
Come off 1*(to become detached or be capable of being detached),
Miss out (on) sth 1*(to fail to use an opportunity to enjoy or get an advantage from something:Don't miss out on the fantastic bargains in our summer sale.We didn't have a TV at home when I was young, and I felt as though I missed out.),
think of sth 1 *,
walk out 1*,
Break through sth 2(to force yourself through something that is holding you back:Protesters broke through the barriers.High waves broke through the barrier beach, you achieve success even though there are difficulties and obstacles.There is still scope for new writers to break through. I broke through the poverty barrier and it was education that did it.)*,
spit sth out 1,
Push through 1*(To force oneself to continue making progress despite difficulties, setbacks, fatigue, etc.I was so tired on the hike back to camp that I felt like I could barely take another step, but I knew I had to push through before the sun went down.Problems kept mounting at every turn, but we were so far into the project's development at that point that all we could do was keep pushing through),
Hit on sb 1*,
Wrap sth up 2 (wrap, finish sth),
Fall for sb 1*,
Fall for sth 1*,
run sth by sb 1*(If you run something by someone, you tell them about it or mention it, to see if they think it is a good idea, or can understand it.Would you run your idea by me one more time?,I'm definitely interested, but I'll have to run it by Larry Estes),
Take (sth/sb) away from sb/sth 1,
Boss sb around 1,
Lock sb up 1*,
Check out 2(to go to a place in order to see what it is like:Let's check out that new dance club,to examine something or get more information about it in order to be certain that it is true, safe, or suitable:We'll need to check out his story.),
Check sb out 1,
Check (it/that/this) out 1,
Swell up 1*,
Call for sb 1*,
Fix sth up 1(to repair, decorate or make something ready,They fixed up the house before they moved in,Nick loves fixing up old cars.),
Fix sb with sb 1(to arrange for somebody to have a meeting with somebody who might become a boyfriend or girlfriend,Jacques tried to fix me up with his older sister,),
Fix sb with sth 1(to arrange for somebody to have something; to provide somebody with something I'll fix you up with a place to stay,Can he fix us up with somewhere to stay,Before he left town Pat saw to it that I was fixed up with a job),
Snap out (of ) sht 1*,
Nose around (in) 1*,
Ask around (for) 1*,
Screw sb over 1,
Look around 2(shopping,literal)*,
Lay on sth 1*(recostarse),
Glance through sth 2 (literal,book)*,
Look through sth 2 (literal,book)*,
Rent out 1*,
Keep sth to oneself 1,
Get away from sb/sth 1*,
come from 2 (place,origin)*,
where sb is coming from 1*,
Root for sb/sth 1*,
Beef sth up 1 (make something stronger or more important ,to increase or improve something, or to make it more interesting),
Jack up 1 (increase price)*,
Stick to sth 1*,
Know of sb/sth 1*,
Speak out loud 1*,
Read out loud 1*,
Believe in 1*,
Pick sth out 1,
be off 2(weird/strange, free of work or school)*,
trick sb into ing 1*,
turn sth/sb down 1(He offered her a trip to Australia but she turned it/him down.He turned down the job because it involved too much traveling.),
turn sth down 1,
talk sth over (with sb) 1(to discuss something carefully and completely, especially in order to reach an agreement or make a decision. You'll find it helpful to talk things over with a friend. They talked over the proposal and decided to give it their approval),
Catch on (to sth) 1 (understand something) *,
Take sth (it/bad feling) out on sb 1*,
Hear sb out 1,
dive into sth 2 (start sth, water/sea/bodies of water)*,
man up 1*,
drop by 1*( To visit someone at some non-specific time in the future. Often stated as an invitation.If you still have questions on the material, why don't you drop by my office sometime, and we'll go over everything step by step.Be sure to drop by the next time you're in the area.2. To come over briefly (to someone's location) in order to deliver someone or something.."I'll drop by the tools after lunch),
crack sb up 1,
turn sth around 1,
quiet down 1*,
gang up on sb 2 (discussion,figth)*,
run away (from) sb/sth 1*,
run away (with sb) 1*(to leave a person or place in order to live with and have a sexual relationship with (someone)),
level sth up 1(to improve or increase, or to make something improve or increase, so that it is as good as something else: Pension benefits for women have been levelled up to match those of men,A late field goal has leveled up the game between these two powerhouses!You can wedge scraps of wood underneath the decking to level it up),
blow sb away 1 (impress/excite),
get away with (ing) sth 1*,
throw sth away 1,
let sb (in/into sth) 1,
call sb back 1,
hop on sth 1*,
sneak around 1*(1. To move around (some place) in a quiet, sneaky, inconspicuous, or furtive manner.Why are you sneaking around the back yard like that? Are you trying to hide something?I hate sneaking around like this, but I don't want Sarah to know what I'm planning for her birthday.We need to get into that warehouse, but I don't know how we're going to sneak around those guards.),
sneak up on sb 1*,
lead sb astray 1,
Head out 1*,
Branch out (into ing sth)* 1 (related or different)(extend or expand one's activities or interests in a new direction."the company is branching out into Europe"to start a business activity or a job that is different from your usual activity or job:As well as looking after their film production company, the couple have branched out and launched their own furniture business.It was the first ad company to branch out into marketing services in a big way),
Shoot sb/sth down 1,
Back off 1*,
Chill out 1*,
pop up 1 (appear unexpectedly)*,
drag on (for) 1 (go on for too long)*,
Take on sth 2*(work/responsibility,to fight or compete against someone or something:I’ll take you on in a game of chess.You have to be brave to take on a big corporation in court)*,
Rinse sth off 1(wash off soap or remaining dirt),
Rinse sth out 1 (washing it with water especially a container),
fall through 1 (fail to happen)*,
fall through sth 1 (literal)*,
Sleep through sth 1*,
Name sb/sth after sb/sth  1*,
head up 1*,
head back 1*,
head off 1*,
Throw oneself at sb 1*,
Laugh sth off 1,
Think back (to) sth 1*(to remember something that happened in the past:It might help you to understand Julia if you think back to when you were her ageIt's a little bittersweet to think back to that time in my life when I was so young and carefree.Thinking back on my family growing up, I realize how close my siblings and I once were),
Put sth out 1 (stop from burning or shinning /fire/candle/cigarrete),
Throw up 1*,
Stand up 1*,
Stand sb up 1,
Stand up to sb/sth 1*,
run for sth 1*(to compete in an election:He's running for mayor again this year.),
rise up against sb/sth 1* (To rebel or revolt against someone or something; to begin resisting or defying someone or something.After their pay was cut a third time, the employees rose up against the management and began an organized strike.Citizens around the country have begun rising up in response to the military's seizure of power.),
light sth up 2 why(make a place bright, light sth cigarrete/candle),
settle for sb/sth 1*,
Turn to sb (for sth) 1*,
Live up to 2 (sb´s expectations)(sb´s name)*,
Wuss out (of sth) 1*,
empty sth out 1 (remove all the contents of some space or container),
Hold sth down 1( keep something at a low level or to prevent it from rising),The rate of inflation must be held down.),
go off 2(bomb/alarm, expired/rotten)*,
BE/get run over (by ) 1,*
Run sb/sth  over 1,
Step sth up 1,
set sb up 2(to provide somebody with the money, trick sb),
set sth up 2(to start something such as a business, organization, or institution,  to make a piece of equipment or a machine ready for use),
put in sth 1 (time/effort)*,
put sth into sth  2 (give time/effort, to improve something by adding a particular quality to it)*,
warm up to sth/sb1 *,
warm sth up1,
warm up 1*,
keep up with sb/sth 2 (speed, to learn about or be aware of the news, current events, etc.
